model,view_type,domain_group,status,parser_ok,fallback_ok,v2_ok,arch_field_count,parser_field_count,v2_field_count,control_field_count,ignored_control_fields,missing_parser_fields,extra_parser_fields,arch_group_count,parser_group_count,arch_notebook_count,parser_notebook_count,arch_page_count,parser_page_count,arch_header_button_count,parser_header_button_count,arch_stat_button_count,parser_stat_button_count,arch_modifier_field_count,parser_modifier_field_count,missing_modifier_fields,arch_x2many_field_count,parser_subview_count,missing_subviews,arch_chatter,parser_chatter,arch_attachment,parser_attachment,boundary_status,gaps
sc.labor.request,tree,labor,ok,true,true,n/a,32,32,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,32,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.labor.settlement,form,labor,ok,true,true,true,17,17,12,0,,,,6,6,1,1,3,3,4,4,0,0,3,24,,0,1,,false,false,false,false,parser_capability_ok,
sc.labor.settlement,tree,labor,ok,true,true,n/a,30,31,0,0,,,currency_id,0,0,0,0,0,0,0,1,0,0,0,31,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.labor.usage,form,labor,ok,true,true,true,17,17,12,0,,,,6,6,1,1,3,3,4,4,0,0,2,17,,0,0,,false,false,false,false,parser_capability_ok,
sc.labor.usage,tree,labor,ok,true,true,n/a,28,28,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,28,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.acceptance,form,material,ok,true,true,true,26,26,21,0,,,,7,7,1,1,4,4,5,5,0,0,5,41,,0,2,,false,false,true,true,parser_capability_ok,
sc.material.acceptance,tree,material,ok,true,true,n/a,17,17,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,17,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.catalog,form,material,ok,true,true,true,20,20,13,0,,,,9,9,0,0,0,0,0,0,0,0,2,20,,0,1,,false,false,true,true,parser_capability_ok,
sc.material.catalog,tree,material,ok,true,true,n/a,18,18,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,18,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.inbound,form,material,ok,true,true,true,22,22,17,0,,,,7,7,1,1,3,3,4,4,0,0,7,31,,0,1,,false,false,false,false,parser_capability_ok,
sc.material.inbound,tree,material,ok,true,true,n/a,40,40,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,40,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.outbound,form,material,ok,true,true,true,21,21,16,0,,,,6,6,1,1,3,3,4,4,0,0,5,27,,0,1,,false,false,false,false,parser_capability_ok,
sc.material.outbound,tree,material,ok,true,true,n/a,16,16,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,16,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.price,form,material,ok,true,true,true,20,20,16,0,,,,9,9,0,0,0,0,0,0,0,0,6,20,,0,0,,false,false,false,false,parser_capability_ok,
sc.material.price,tree,material,ok,true,true,n/a,17,18,0,0,,,currency_id,0,0,0,0,0,0,0,1,0,0,0,18,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.purchase.request,form,material,ok,true,true,true,18,18,13,0,,,,7,7,1,1,3,3,4,4,0,0,5,27,,0,1,,false,false,false,false,parser_capability_ok,
sc.material.purchase.request,tree,material,ok,true,true,n/a,29,29,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,29,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.rental.order,form,material,ok,true,true,true,18,18,13,0,,,,6,6,1,1,3,3,4,4,0,0,4,29,,0,1,,false,false,false,false,parser_capability_ok,
sc.material.rental.order,tree,material,ok,true,true,n/a,43,44,0,0,,,currency_id,0,0,0,0,0,0,0,1,0,0,0,44,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.rental.plan,form,material,ok,true,true,true,19,19,14,0,,,,5,5,1,1,3,3,4,4,0,0,4,28,,0,1,,false,false,false,false,parser_capability_ok,
sc.material.rental.plan,tree,material,ok,true,true,n/a,16,17,0,0,,,currency_id,0,0,0,0,0,0,0,1,0,0,0,17,,0,0,,n/a,n/a,n/a,n/a,parser_capability_ok,
sc.material.rental.settlement,form,material,ok,true,true,true,20,20,15,0,,,,6,6,1,1,3,3,4,4,0,0,6,29,,0,1,,false,false,false,false,parser_capability_ok,
