audit_mode,module,file,xmlid,view_name,model,inherit_id,arch_root,arch_kind,field_count,group_count,labelled_group_count,notebook_count,page_count,labelled_page_count,statusbar_count,header_button_count,button_box_count,stat_button_count,chatter_count,x2many_inline_count,data_anchor_count,source_trace_field_count,structural_score,classification,recommendation,gaps
runtime_view,runtime,odoo.registry,payment.view_partners_form_payment_defaultcreditcard,view.res.partner.form.payment.defaultcreditcard,res.partner,base.view_partner_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,product.view_partner_property_form,res.partner.product.property.form.inherit,res.partner,base.view_partner_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,project.view_task_partner_info_form,res.partner.task.buttons,res.partner,base.view_partner_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,purchase.res_partner_view_purchase_account_buttons,res.partner.view.purchase.account.buttons,res.partner,base.view_partner_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,purchase.res_partner_view_purchase_buttons,res.partner.view.purchase.buttons,res.partner,base.view_partner_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,purchase.view_partner_property_form,res.partner.purchase.property.form.inherit,res.partner,base.view_partner_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,purchase_stock.res_partner_view_purchase_buttons_inherit,res.partner.purchase.stock.form.inherit,res.partner,purchase.res_partner_view_purchase_buttons,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,smart_construction_core.view_partner_form_sc_complete_name_contract,res.partner.form.sc.complete.name.contract,res.partner,base.view_partner_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,smart_construction_core.view_sc_customer_partner_form,res.partner.sc.customer.form,res.partner,,form,full_form,44,8,3,1,2,2,0,0,0,0,0,1,50,23,13,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar;missing_button_box;missing_chatter
runtime_view,runtime,odoo.registry,smart_construction_core.view_sc_supplier_partner_form,res.partner.sc.supplier.form,res.partner,,form,full_form,46,7,3,1,4,4,0,0,0,0,0,1,52,21,13,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar;missing_button_box;missing_chatter
runtime_view,runtime,odoo.registry,sms.res_partner_view_form,res.partner.view.form.inherit.sms,res.partner,base.view_partner_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,stock.view_partner_stock_form,res.partner.stock.property.form.inherit,res.partner,mail.res_partner_view_form_inherit_mail,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,stock.view_partner_stock_warnings_form,res.partner.stock.warning,res.partner,base.view_partner_form,form,full_form,83,18,7,1,5,5,0,0,1,7,1,2,167,0,15,auto_standardizable,可直接作为项目式结构标准化输入,missing_statusbar
runtime_view,runtime,odoo.registry,account.view_partner_bank_form_inherit_account,res.partner.bank.form.inherit.account,res.partner.bank,base.view_partner_bank_form,form,full_form,19,3,0,0,0,0,0,0,0,0,1,0,21,0,8,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box
runtime_default,runtime,odoo.registry,base.view_partner_bank_form,res.partner.bank.runtime.default.form,res.partner.bank,,form,full_form,19,3,0,0,0,0,0,0,0,0,1,0,21,0,8,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box
runtime_view,runtime,odoo.registry,base.view_partner_bank_form,res.partner.bank.form,res.partner.bank,,form,full_form,9,3,0,0,0,0,0,0,0,0,0,0,11,0,7,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
runtime_default,runtime,odoo.registry,base.view_partner_category_form,res.partner.category.runtime.default.form,res.partner.category,,form,full_form,4,1,0,0,0,0,0,0,0,0,0,0,4,0,7,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
runtime_view,runtime,odoo.registry,base.view_partner_category_form,Contact Tags,res.partner.category,,form,full_form,4,1,0,0,0,0,0,0,0,0,0,0,4,0,7,contract_auto_with_default_tabs,可由契约层生成标准 notebook，但需确认页签语义,missing_labelled_group;missing_notebook;missing_page;missing_labelled_page;missing_statusbar;missing_button_box;missing_chatter
